,names,rates,director,actors
0,Kyabin,7.0,Drew Goddard,"Kristen Connolly, Chris Hemsworth, Anna Hutchison, Fran Kranz"
1,Koi no kara sawagi,7.3,Gil Junger,"Heath Ledger, Julia Stiles, Joseph Gordon-Levitt, Larisa Oleynik"
2,Sutâ wôzu: Fôsu no kakusei,7.9,J.J. Abrams,"Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson"
3,Hanna,6.8,Joe Wright,"Saoirse Ronan, Cate Blanchett, Eric Bana, Vicky Krieps"
4,Locke & Key,7.4,,"Darby Stanchfield, Connor Jessup, Emilia Jones, Jackson Robert Scott"
5,Angel Has Fallen,6.4,Ric Roman Waugh,"Gerard Butler, Frederick Schmidt, Danny Huston, Rocci Williams"
6,Heroes,7.5,,"Jack Coleman, Hayden Panettiere, Milo Ventimiglia, Masi Oka"
7,ロード・オブ・ザ・リング 二つの塔,8.7,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom"
8,The Peanut Butter Falcon,7.6,,"Zack Gottsagen, Ann Owens, Dakota Johnson, Bruce Dern"
9,Force of Nature,4.4,Michael Polish,"Emile Hirsch, Mel Gibson, David Zayas, Kate Bosworth"
10,007 wa nido shinu,6.9,Lewis Gilbert,"Sean Connery, Akiko Wakabayashi, Mie Hama, Tetsurô Tanba"
11,Power,8.2,,"Omari Hardwick, Lela Loren, Naturi Naughton, Joseph Sikora"
12,300,7.6,Zack Snyder,"Gerard Butler, Lena Headey, David Wenham, Dominic West"
13,The Big Short,7.8,Adam McKay,"Christian Bale, Steve Carell, Ryan Gosling, Brad Pitt"
14,Gods of Egypt,5.4,Alex Proyas,"Brenton Thwaites, Nikolaj Coster-Waldau, Gerard Butler, Chadwick Boseman"
15,I'm Sorry.,7.9,,"Andrea Savage, Tom Everett Scott, Olive Petrucci, Kathy Baker"
16,Midnight in Paris,7.7,Woody Allen,"Owen Wilson, Rachel McAdams, Kathy Bates, Kurt Fuller"
17,The Help,8.0,Tate Taylor,"Emma Stone, Viola Davis, Octavia Spencer, Bryce Dallas Howard"
18,Bird Box,6.6,Susanne Bier,"Sandra Bullock, Trevante Rhodes, John Malkovich, Sarah Paulson"
19,Weeds,7.9,,"Mary-Louise Parker, Hunter Parrish, Alexander Gould, Kevin Nealon"
20,Shadowhunters: The Mortal Instruments,6.6,,"Katherine McNamara, Dominic Sherwood, Alberto Rosende, Matthew Daddario"
21,Spider-Man,7.3,Sam Raimi,"Tobey Maguire, Kirsten Dunst, Willem Dafoe, James Franco"
22,Fauda,8.2,,"Lior Raz, Itzik Cohen, Neta Garty, Rona-Lee Shim'on"
23,Anna,6.6,Luc Besson,"Sasha Luss, Helen Mirren, Luke Evans, Cillian Murphy"
24,Man obu Sutîru,7.0,Zack Snyder,"Henry Cavill, Amy Adams, Michael Shannon, Diane Lane"
25,Scent of a Woman,8.0,Martin Brest,"Al Pacino, Chris O'Donnell, James Rebhorn, Gabrielle Anwar"
26,Blended,6.5,Frank Coraci,"Adam Sandler, Drew Barrymore, Wendi McLendon-Covey, Kevin Nealon"
27,ソーシャル・ネットワーク,7.7,David Fincher,"Jesse Eisenberg, Andrew Garfield, Justin Timberlake, Rooney Mara"
28,The Nice Guys,7.4,Shane Black,"Russell Crowe, Ryan Gosling, Angourie Rice, Matt Bomer"
29,Dirty Dancing,7.0,Emile Ardolino,"Patrick Swayze, Jennifer Grey, Jerry Orbach, Cynthia Rhodes"
30,Atlanta,8.6,,"Donald Glover, Brian Tyree Henry, LaKeith Stanfield, Zazie Beetz"
31,Venom: Let There Be Carnage,,Andy Serkis,"Tom Hardy, Woody Harrelson, Michelle Williams, Stephen Graham"
32,Ant-Man and the Wasp,7.1,Peyton Reed,"Paul Rudd, Evangeline Lilly, Michael Peña, Walton Goggins"
33,The Stand,,,"James Marsden, Jovan Adepo, Whoopi Goldberg, Amber Heard"
34,Jurashikku Wârudo/Honoo no oukoku,6.2,J.A. Bayona,"Chris Pratt, Bryce Dallas Howard, Rafe Spall, Justice Smith"
35,Boogie Nights,7.9,Paul Thomas Anderson,"Mark Wahlberg, Julianne Moore, Burt Reynolds, Luis Guzmán"
36,Avatar 2,,James Cameron,"Zoe Saldana, Kate Winslet, Vin Diesel, Cliff Curtis"
37,Stardust,7.6,Matthew Vaughn,"Charlie Cox, Claire Danes, Sienna Miller, Ian McKellen"
38,Dummy,6.6,,"Anna Kendrick, Meredith Hagner, Donal Logue, Wayne Federman"
39,Robin Fuddo no bôken,7.9,,"Errol Flynn, Olivia de Havilland, Basil Rathbone, Claude Rains"
40,Hoshi no Ôji Nyûyôku e iku,7.0,John Landis,"Eddie Murphy, Paul Bates, Garcelle Beauvais, Feather"
41,American Graffiti,7.4,George Lucas,"Richard Dreyfuss, Ron Howard, Paul Le Mat, Charles Martin Smith"
42,Barry,8.3,,"Bill Hader, Stephen Root, Sarah Goldberg, Anthony Carrigan"
43,Donnie Darko,8.0,Richard Kelly,"Jake Gyllenhaal, Jena Malone, Mary McDonnell, Holmes Osborne"
44,The Night Manager,8.1,,"Hugh Laurie, Tom Hiddleston, Elizabeth Debicki, Olivia Colman"
45,Sutâ torekku,7.9,J.J. Abrams,"Chris Pine, Zachary Quinto, Simon Pegg, Leonard Nimoy"
46,The Middle,7.5,,"Patricia Heaton, Neil Flynn, Charlie McDermott, Eden Sher"
47,The Way Back,6.7,Gavin O'Connor,"Ben Affleck, Al Madrigal, Janina Gavankar, Michaela Watkins"
48,Death Note: Desu nôto,9.0,,"Mamoru Miyano, Brad Swaile, Vincent Tong, Ryô Naitô"
49,Jessica Jones,7.9,,"Krysten Ritter, Rachael Taylor, Eka Darville, Carrie-Anne Moss"
50,2 Hearts,,Lance Hool,"Jacob Elordi, Radha Mitchell, Adan Canto, Kari Matchett"
51,The Lost Boys,7.3,Joel Schumacher,"Jason Patric, Corey Haim, Dianne Wiest, Barnard Hughes"
52,Alien: Covenant,6.4,Ridley Scott,"Michael Fassbender, Katherine Waterston, Billy Crudup, Danny McBride"
53,Kingu Kongu: Dokuroto no kyoshin,6.6,Jordan Vogt-Roberts,"Tom Hiddleston, Samuel L. Jackson, Brie Larson, John C. Reilly"
54,War of the Worlds,6.2,,"Léa Drucker, Gabriel Byrne, Adel Bencherif, Natasha Little"
55,Grown Ups,5.9,Dennis Dugan,"Adam Sandler, Salma Hayek, Kevin James, Chris Rock"
56,Thor,7.0,Kenneth Branagh,"Chris Hemsworth, Anthony Hopkins, Natalie Portman, Tom Hiddleston"
57,Dawson's Creek,6.6,,"James Van Der Beek, Katie Holmes, Michelle Williams, Joshua Jackson"
58,Pretty League,7.3,Penny Marshall,"Tom Hanks, Geena Davis, Lori Petty, Madonna"
59,Maleficent: Mistress of Evil,6.6,Joachim Rønning,"Angelina Jolie, Elle Fanning, Harris Dickinson, Michelle Pfeiffer"
60,Thor: Love and Thunder,,Taika Waititi,"Christian Bale, Chris Hemsworth, Natalie Portman, Taika Waititi"
61,Sicario: Day of the Soldado,7.1,Stefano Sollima,"Benicio Del Toro, Josh Brolin, Isabela Merced, Jeffrey Donovan"
62,Call the Midwife,8.4,,"Vanessa Redgrave, Laura Main, Jenny Agutter, Judy Parfitt"
63,Fâgo,8.1,,"William H. Macy, Frances McDormand, Steve Buscemi, Peter Stormare"
64,The Great Gatsby,7.2,Baz Luhrmann,"Leonardo DiCaprio, Carey Mulligan, Joel Edgerton, Tobey Maguire"
65,Scooby-Doo,5.1,Raja Gosnell,"Matthew Lillard, Freddie Prinze Jr., Sarah Michelle Gellar, Linda Cardellini"
66,Karppi,7.2,,"Pihla Viitala, Lauri Tilkanen, Mimosa Willamo, Noa Tola"
67,Burn Notice,7.9,,"Jeffrey Donovan, Gabrielle Anwar, Bruce Campbell, Sharon Gless"
68,"Beverly Hills, 90210",6.3,,"Jason Priestley, Shannen Doherty, Luke Perry, Jennie Garth"
69,Richard Jewell,7.5,Clint Eastwood,"Paul Walter Hauser, Sam Rockwell, Brandon Stanley, Ryan Boz"
70,Just Mercy,7.6,Destin Daniel Cretton,"Michael B. Jordan, Jamie Foxx, Brie Larson, Charlie Pye Jr."
71,The Killing,8.2,,"Mireille Enos, Joel Kinnaman, Billy Campbell, Liam James"
72,Sucker Punch,6.0,Zack Snyder,"Emily Browning, Vanessa Hudgens, Abbie Cornish, Jena Malone"
73,Into the Dark,6.3,,"Aurora Perrineau, Diane Sellers, Dylan Arnold, Katie Wilson"
74,El Camino: A Breaking Bad Movie,7.3,Vince Gilligan,"Aaron Paul, Jonathan Banks, Matt Jones, Charles Baker"
75,Sutâ wôzu episoddo 5: Teikoku no gyakushû,8.7,Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams"
76,Marêna,7.5,Giuseppe Tornatore,"Monica Bellucci, Giuseppe Sulfaro, Luciano Federico, Matilde Piana"
77,Ant-Man,7.3,Peyton Reed,"Paul Rudd, Michael Douglas, Corey Stoll, Evangeline Lilly"
78,Hangover! Kieta Hanamuko to Shijô Saiaku no Futsukayoi,7.7,Todd Phillips,"Zach Galifianakis, Bradley Cooper, Justin Bartha, Ed Helms"
79,American Dad!,7.3,,"Seth MacFarlane, Wendy Schaal, Scott Grimes, Rachael MacFarlane"
80,Cruella,,Craig Gillespie,"Emma Stone, Mark Strong, Emma Thompson, Paul Walter Hauser"
81,The Rain,6.4,,"Alba August, Lucas Lynggaard Tønnesen, Mikkel Boe Følsgaard, Lukas Løkken"
82,Hacksaw Ridge,8.1,Mel Gibson,"Andrew Garfield, Sam Worthington, Luke Bracey, Teresa Palmer"
83,Private Practice,6.6,,"Kate Walsh, Paul Adelstein, KaDee Strickland, Taye Diggs"
84,The Waltons,7.6,,"Jon Walmsley, Mary Beth McDonough, Eric Scott, Kami Cotler"
85,Naruto: Shippûden,8.6,,"Junko Takeuchi, Maile Flanagan, Kate Higgins, Chie Nakamura"
86,Freaks and Geeks,8.8,,"Linda Cardellini, John Francis Daley, James Franco, Samm Levine"
87,Kingdom,8.4,,"Ji-Hoon Ju, Doona Bae, Kim Sungkyu, Hye-Jun Kim"
88,Insecure,7.9,,"Issa Rae, Yvonne Orji, Jay Ellis, Natasha Rothwell"
89,Lost in Space,7.3,,"Molly Parker, Toby Stephens, Maxwell Jenkins, Taylor Russell"
90,Pirates of the Caribbean: Dead Man's Chest,7.3,Gore Verbinski,"Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport"
91,The Perks of Being a Wallflower,8.0,Stephen Chbosky,"Logan Lerman, Emma Watson, Ezra Miller, Paul Rudd"
92,Imposters,7.8,,"Inbar Lavi, Rob Heaps, Parker Young, Marianne Rendón"
93,Mary Poppins Returns,6.7,Rob Marshall,"Emily Blunt, Lin-Manuel Miranda, Ben Whishaw, Emily Mortimer"
94,Silent Witness,7.8,,"Emilia Fox, William Gaminara, Tom Ward, David Caves"
95,Drive,7.8,Nicolas Winding Refn,"Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks"
96,Tôbôsha,7.8,Andrew Davis,"Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore"
97,The Killing of a Sacred Deer,7.0,Yorgos Lanthimos,"Barry G. Bernson, Herb Caillouet, Bill Camp, Raffey Cassidy"
98,Pinocchio,6.4,Matteo Garrone,"Federico Ielapi, Roberto Benigni, Rocco Papaleo, Massimo Ceccherini"
99,Captain America: Civil War,7.8,,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan"
100,Godzilla: King of the Monsters,6.0,Michael Dougherty,"Kyle Chandler, Vera Farmiga, Millie Bobby Brown, Ken Watanabe"
101,The Equalizer 2,6.7,Antoine Fuqua,"Denzel Washington, Pedro Pascal, Ashton Sanders, Orson Bean"
102,Future Man,7.8,,"Josh Hutcherson, Eliza Coupe, Derek Wilson, Haley Joel Osment"
103,Shichinin no samurai,8.6,Akira Kurosawa,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki"
104,M.S. Dhoni: The Untold Story,7.8,Neeraj Pandey,"Sushant Singh Rajput, Kiara Advani, Anupam Kher, Disha Patani"
105,Mulholland Dr.,8.0,David Lynch,"Naomi Watts, Laura Harring, Justin Theroux, Jeanne Bates"
106,Tacoma FD,8.0,,"Kevin Heffernan, Steve Lemme, Eugene Cordero, Marcus Henderson"
107,Face/Off,7.3,John Woo,"John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivola"
108,Gretel & Hansel,5.3,Oz Perkins,"Sophia Lillis, Samuel Leakey, Alice Krige, Jessica De Gouw"
109,A Place to Call Home,8.3,,"Marta Dusseldorp, Noni Hazlehurst, Brett Climo, Craig Hall"
110,Toransufômâ,7.0,Michael Bay,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson"
111,Amerikan Hisutori X,8.5,Tony Kaye,"Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien"
112,Wasp Network,5.8,Olivier Assayas,"Penélope Cruz, Edgar Ramírez, Gael García Bernal, Ana de Armas"
113,Coco,8.4,,"Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach"
114,トゥルー・ロマンス,7.9,Tony Scott,"Christian Slater, Patricia Arquette, Dennis Hopper, Val Kilmer"
115,Tales from the Loop,7.5,,"Daniel Zolghadri, Paul Schneider, Rebecca Hall, Robert Nahum Allen"
116,007: Kajino rowaiyaru,8.0,Martin Campbell,"Daniel Craig, Eva Green, Judi Dench, Jeffrey Wright"
117,Last Chance U,8.5,,"Ron Ollie, John III Franklin, Buddy Stephens, Brittany Wagner"
118,Mission: Impossible - Rogue Nation,7.4,Christopher McQuarrie,"Tom Cruise, Rebecca Ferguson, Jeremy Renner, Simon Pegg"
119,Rezaboa Doggusu,8.3,Quentin Tarantino,"Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn"
120,A Discovery of Witches,8.1,,"Gregg Chillin, Matthew Goode, Teresa Palmer, Valarie Pettiford"
121,The Head,6.8,,"John Lynch, Katharine O'Donnelly, Alexandre Willaume, Richard Sammel"
122,Agatha Christie's Marple,7.8,,"Geraldine McEwan, Julia McKenzie, Stephen Churchett, Isabella Parriss"
123,Orphan Black,8.3,,"Tatiana Maslany, Dylan Bruce, Jordan Gavaris, Kevin Hanchard"
124,Everybody Loves Raymond,7.1,,"Ray Romano, Patricia Heaton, Brad Garrett, Doris Roberts"
125,Purometeusu,7.0,Ridley Scott,"Noomi Rapace, Logan Marshall-Green, Michael Fassbender, Charlize Theron"
126,Sasuperia,6.8,Luca Guadagnino,"Chloë Grace Moretz, Tilda Swinton, Doris Hick, Malgorzata Bela"
127,Monster,7.3,Patty Jenkins,"Charlize Theron, Christina Ricci, Bruce Dern, Lee Tergesen"
128,007/Shinu no wa yatsurada,6.8,Guy Hamilton,"Roger Moore, Yaphet Kotto, Jane Seymour, Clifton James"
129,Why Women Kill,8.3,,"Lucy Liu, Ginnifer Goodwin, Kirby Howell-Baptiste, Alexandra Daddario"
130,West Side Story,,Steven Spielberg,"Ansel Elgort, Rachel Zegler, Ariana DeBose, David Alvarez"
131,Clue,7.3,Jonathan Lynn,"Eileen Brennan, Tim Curry, Madeline Kahn, Christopher Lloyd"
132,Bates Motel,8.2,,"Vera Farmiga, Freddie Highmore, Max Thieriot, Nicola Peltz"
133,Senjô no pianisuto,8.5,Roman Polanski,"Adrien Brody, Thomas Kretschmann, Frank Finlay, Emilia Fox"
134,Misutâ inkurediburu,8.0,Brad Bird,"Craig T. Nelson, Samuel L. Jackson, Holly Hunter, Jason Lee"
135,Arkansas,5.9,Clark Duke,"Liam Hemsworth, Vince Vaughn, Clark Duke, John Malkovich"
136,Once Upon a Time in America,8.4,Sergio Leone,"Robert De Niro, James Woods, Elizabeth McGovern, Treat Williams"
137,Super 8,7.0,J.J. Abrams,"Elle Fanning, AJ Michalka, Kyle Chandler, Joel Courtney"
138,Hobitto o moigake nai boken,7.8,Peter Jackson,"Martin Freeman, Ian McKellen, Richard Armitage, Andy Serkis"
139,Will & Grace,7.2,,"Eric McCormack, Debra Messing, Megan Mullally, Sean Hayes"
140,Harley Quinn,8.5,,"Kaley Cuoco, Lake Bell, Alan Tudyk, Ron Funches"
141,Fighting with My Family,7.1,Stephen Merchant,"Dwayne Johnson, Lena Headey, Vince Vaughn, Florence Pugh"
142,La vita è bella,8.6,Roberto Benigni,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano"
143,One Piece: Wan pîsu,8.7,,"Mayumi Tanaka, Tony Beck, Laurent Vernin, Akemi Okamura"
144,Hamunaputora: Ushinawareta sabaku no miyako,7.0,Stephen Sommers,"Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo"
145,Doctor Foster,7.7,,"Suranne Jones, Bertie Carvel, Tom Taylor, Thusitha Jayasundera"
146,Kill Bill: Vol. 1,8.1,Quentin Tarantino,"Uma Thurman, David Carradine, Daryl Hannah, Michael Madsen"
147,The King of Queens,7.3,,"Kevin James, Leah Remini, Jerry Stiller, Patton Oswalt"
148,The Bold Type,8.0,,"Katie Stevens, Aisha Dee, Meghann Fahy, Melora Hardin"
149,Triple Frontier,6.4,J.C. Chandor,"Ben Affleck, Oscar Isaac, Charlie Hunnam, Garrett Hedlund"
150,The Lost World: Jurassic Park,6.6,Steven Spielberg,"Jeff Goldblum, Julianne Moore, Pete Postlethwaite, Vince Vaughn"
151,21 Bridges,6.6,Brian Kirk,"Chadwick Boseman, Sienna Miller, J.K. Simmons, Stephan James"
152,Moonlight,7.4,Barry Jenkins,"Mahershala Ali, Naomie Harris, Trevante Rhodes, Alex R. Hibbert"
153,Beetlejuice,7.5,Tim Burton,"Alec Baldwin, Geena Davis, Michael Keaton, Annie McEnroe"
154,Oldeuboi,8.4,Chan-wook Park,"Min-sik Choi, Ji-Tae Yoo, Hye-jeong Kang, Dae-han Ji"
155,Twelve Monkeys,8.0,Terry Gilliam,"Bruce Willis, Madeleine Stowe, Brad Pitt, Joseph Melito"
156,Tombstone,7.8,,"Kurt Russell, Val Kilmer, Sam Elliott, Bill Paxton"
157,Arrival,7.9,Denis Villeneuve,"Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg"
158,3 Idiots,8.4,Rajkumar Hirani,"Aamir Khan, Madhavan, Mona Singh, Sharman Joshi"
159,Under the Skin,6.3,Jonathan Glazer,"Scarlett Johansson, Jeremy McWilliams, Lynsey Taylor Mackay, Dougie McConnell"
160,Predator,7.8,John McTiernan,"Arnold Schwarzenegger, Carl Weathers, Kevin Peter Hall, Elpidia Carrillo"
161,Life in Pieces,8.0,,"Colin Hanks, Betsy Brandt, Thomas Sadoski, Zoe Lister-Jones"
162,Young Sheldon,7.4,,"Iain Armitage, Zoe Perry, Lance Barber, Montana Jordan"
163,"Extremely Wicked, Shockingly Evil and Vile",6.6,Joe Berlinger,"Lily Collins, Zac Efron, Angela Sarafyan, Sydney Vollmer"
164,遊星からの物体X,8.1,John Carpenter,"Kurt Russell, Wilford Brimley, Keith David, Richard Masur"
165,Law & Order: Criminal Intent,7.4,,"Kathryn Erbe, Vincent D'Onofrio, Jamey Sheridan, Courtney B. Vance"
166,Sponge Bob,8.1,,"Tom Kenny, Bill Fagerbakke, Rodger Bumpass, Clancy Brown"
167,Patriots Day,7.4,Peter Berg,"Mark Wahlberg, Michelle Monaghan, J.K. Simmons, John Goodman"
168,Model Shop,6.6,Jacques Demy,"Anouk Aimée, Gary Lockwood, Alexandra Hay, Carol Cole"
169,In Time,6.7,Andrew Niccol,"Justin Timberlake, Amanda Seyfried, Cillian Murphy, Olivia Wilde"
170,Argo,7.7,Ben Affleck,"Ben Affleck, Bryan Cranston, John Goodman, Alan Arkin"
171,Runaways,7.0,,"Rhenzy Feliz, Lyrica Okano, Virginia Gardner, Ariela Barer"
172,To All the Boys I've Loved Before,7.1,Susan Johnson,"Lana Condor, Noah Centineo, Janel Parrish, Anna Cathcart"
173,Twin Peaks,8.5,,"Kyle MacLachlan, Sheryl Lee, Michael Horse, Chrysta Bell"
174,Cars,7.1,,"Owen Wilson, Bonnie Hunt, Paul Newman, Larry the Cable Guy"
175,John Wick: Chapter 2,7.5,Chad Stahelski,"Keanu Reeves, Riccardo Scamarcio, Ian McShane, Ruby Rose"
176,ウエスタン,8.5,Sergio Leone,"Henry Fonda, Charles Bronson, Claudia Cardinale, Jason Robards"
177,Sutâ wôzu/Jedai no fukushuu,8.3,Richard Marquand,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams"
178,Bill & Ted's Bogus Journey,6.3,Peter Hewitt,"Keanu Reeves, Alex Winter, William Sadler, Joss Ackland"
179,Mission: Impossible - Ghost Protocol,7.4,Brad Bird,"Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton"
180,"Signed, Sealed, Delivered",7.5,,"Eric Mabius, Kristin Booth, Yan-Kay Crystal Lowe, Geoff Gustafson"
181,Pirates of the Caribbean: At World's End,7.1,Gore Verbinski,"Johnny Depp, Orlando Bloom, Keira Knightley, Geoffrey Rush"
182,The Babysitter,6.3,McG,"Judah Lewis, Samara Weaving, Robbie Amell, Hana Mae Lee"
183,Aarya,7.9,,"Sushmita Sen, Vikas Kumar, Namit Das, Sikandar Kher"
184,Atomic Blonde,6.7,David Leitch,"Charlize Theron, James McAvoy, John Goodman, Eddie Marsan"
185,The Shield,8.7,,"Michael Chiklis, Catherine Dent, Walton Goggins, Michael Jace"
186,Happy Days,7.4,,"Ron Howard, Henry Winkler, Marion Ross, Tom Bosley"
187,The Nun,5.3,Corin Hardy,"Demián Bichir, Taissa Farmiga, Jonas Bloquet, Bonnie Aarons"
188,Star Wars: Rebels,8.0,,"Taylor Gray, Dave Filoni, Vanessa Marshall, Freddie Prinze Jr."
189,The Master,7.2,Paul Thomas Anderson,"Philip Seymour Hoffman, Joaquin Phoenix, Amy Adams, Jesse Plemons"
190,Children of Men,7.9,Alfonso Cuarón,"Julianne Moore, Clive Owen, Chiwetel Ejiofor, Michael Caine"
191,Sleepless in Seattle,6.8,Nora Ephron,"Tom Hanks, Meg Ryan, Ross Malinger, Rita Wilson"
192,Big Mouth,8.0,,"Nick Kroll, John Mulaney, Jessi Klein, Jason Mantzoukas"
193,Cats,2.7,Tom Hooper,"James Corden, Judi Dench, Jason Derulo, Idris Elba"
194,Dirilis: Ertugrul,7.8,,"Engin Altan Düzyatan, Hülya Darcan, Cengiz Coskun, Nurettin Sönmez"
195,The Patriot,7.2,Roland Emmerich,"Mel Gibson, Heath Ledger, Joely Richardson, Jason Isaacs"
196,Hagane no renkinjutsushi,9.1,,"Kent Williams, Iemasa Kayumi, Vic Mignogna, Muriel Hofmann"
197,Clash of the Titans,6.9,Desmond Davis,"Laurence Olivier, Harry Hamlin, Claire Bloom, Maggie Smith"
198,Misfits,8.2,,"Nathan Stewart-Jarrett, Joseph Gilgun, Iwan Rheon, Lauren Socha"
199,Little Miss Sunshine,7.8,,"Steve Carell, Toni Collette, Greg Kinnear, Abigail Breslin"
