Unnamed: 0,names,rates,director,actors
4,Harî Pottâ to honoo no goburetto,7.7,Mike Newell,"Daniel Radcliffe, Emma Watson, Rupert Grint, Eric Sykes"
5,Munich,7.5,Steven Spielberg,"Eric Bana, Daniel Craig, Marie-Josée Croze, Ciarán Hinds"
6,Longmire,8.3,,"Robert Taylor, Katee Sackhoff, Lou Diamond Phillips, Cassidy Freeman"
7,Gemini Man,5.7,Ang Lee,"Will Smith, Mary Elizabeth Winstead, Clive Owen, Benedict Wong"
8,Rocketman,7.3,Dexter Fletcher,"Taron Egerton, Jamie Bell, Richard Madden, Bryce Dallas Howard"
9,Besuto kiddo,7.2,John G. Avildsen,"Ralph Macchio, Pat Morita, Elisabeth Shue, Martin Kove"
10,Deadpool,8.0,Tim Miller,"Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein"
11,Banshee,8.4,,"Antony Starr, Ivana Milicevic, Ulrich Thomsen, Frankie Faison"
12,Emma.,6.7,Autumn de Wilde,"Anya Taylor-Joy, Johnny Flynn, Mia Goth, Angus Imrie"
13,Marcella,7.4,,"Anna Friel, Ray Panthaki, Jack Doolan, Jamie Bamber"
14,NCIS: Los Angeles,6.7,,"Chris O'Donnell, Daniela Ruah, Barrett Foa, Linda Hunt"
15,Banana Split,6.2,Benjamin Kasulke,"Hannah Marks, Liana Liberato, Dylan Sprouse, Luke Spencer Roberts"
16,The Baby-Sitters Club,7.4,,"Sophie Grace, Momona Tamada, Shay Rudolph, Malia Baker"
17,How to Build a Girl,5.8,Coky Giedroyc,"Beanie Feldstein, Cleo, Dónal Finn, Paddy Considine"
18,Porutagaisuto,7.3,Tobe Hooper,"JoBeth Williams, Heather O'Rourke, Craig T. Nelson, Beatrice Straight"
19,Harriet,6.5,Kasi Lemmons,"Cynthia Erivo, Janelle Monáe, Leslie Odom Jr., Joe Alwyn"
20,Love on the Spectrum,8.7,,
21,The Hunger Games,7.2,Gary Ross,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Stanley Tucci"
22,Charmed,7.1,,"Holly Marie Combs, Alyssa Milano, Brian Krause, Rose McGowan"
23,Alien,8.4,Ridley Scott,"Sigourney Weaver, Tom Skerritt, John Hurt, Veronica Cartwright"
24,Rogue,,M.J. Bassett,"Megan Fox, Jessica Sutton, Calli Taylor, Philip Winchester"
25,Bob's Burgers,8.1,,"H. Jon Benjamin, Dan Mintz, Eugene Mirman, John Roberts"
26,Bloodline,8.0,,"Kyle Chandler, Ben Mendelsohn, Linda Cardellini, Sissy Spacek"
27,Friday Night Lights,8.6,,"Kyle Chandler, Connie Britton, Zach Gilford, Aimee Teegarden"
28,Supaidâman: Fâ Furomu Hômu,7.5,Jon Watts,"Tom Holland, Samuel L. Jackson, Jake Gyllenhaal, Marisa Tomei"
29,Indian Matchmaking,6.0,,"Sima Taparia, Vyasar M. Ganesan, Ankita Bansal, Nadia Jagessar"
30,Desuparêto na tsuma tachi,7.4,,"Teri Hatcher, Felicity Huffman, Marcia Cross, Eva Longoria"
31,The Fault in Our Stars,7.7,Josh Boone,"Shailene Woodley, Ansel Elgort, Nat Wolff, Laura Dern"
32,Black Panther,7.3,Ryan Coogler,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira"
33,Alita: Battle Angel,7.3,Robert Rodriguez,"Rosa Salazar, Christoph Waltz, Jennifer Connelly, Mahershala Ali"
34,Blue Bloods,7.6,,"Donnie Wahlberg, Bridget Moynahan, Will Estes, Len Cariou"
35,Fantastic Beasts: The Crimes of Grindelwald,6.6,David Yates,"Eddie Redmayne, Katherine Waterston, Dan Fogler, Johnny Depp"
36,Dynasty,7.3,,"Elizabeth Gillies, Rafael de la Fuente, Robert Christopher Riley, Sam Adegoke"
37,Swallow,6.4,Carlo Mirabella-Davis,"Haley Bennett, Austin Stowell, Denis O'Hare, Elizabeth Marvel"
38,The Leftovers,8.3,,"Justin Theroux, Amy Brenneman, Christopher Eccleston, Liv Tyler"
39,Onward,7.4,Dan Scanlon,"Tom Holland, Chris Pratt, Julia Louis-Dreyfus, Octavia Spencer"
40,Fringe,8.4,,"Anna Torv, Joshua Jackson, John Noble, Jasika Nicole"
41,Almost Famous,7.9,Cameron Crowe,"Billy Crudup, Patrick Fugit, Kate Hudson, Frances McDormand"
42,Kimi no namae de Boku wo yonde,7.9,Luca Guadagnino,"Armie Hammer, Timothée Chalamet, Michael Stuhlbarg, Amira Casar"
43,Suicide Squad,6.0,David Ayer,"Will Smith, Jared Leto, Margot Robbie, Viola Davis"
44,"Murder, She Wrote",7.0,,"Angela Lansbury, William Windom, Ron Masak, Louis Herthum"
45,See,7.6,,"Jason Momoa, Sylvia Hoeks, Hera Hilmar, Christian Camargo"
46,Black Sails,8.2,,"Jessica Parker Kennedy, Toby Stephens, Hannah New, Zach McGowan"
47,Jane the Virgin,7.8,,"Gina Rodriguez, Andrea Navedo, Yael Grobglas, Ivonne Coll"
48,Jigoku no mokushiroku,8.4,Francis Ford Coppola,"Martin Sheen, Marlon Brando, Robert Duvall, Frederic Forrest"
49,Eabendâ,4.1,M. Night Shyamalan,"Noah Ringer, Nicola Peltz, Jackson Rathbone, Dev Patel"
50,Kakkou no su no ue de,8.7,Milos Forman,"Jack Nicholson, Louise Fletcher, Will Sampson, Michael Berryman"
51,Fantasy Island,4.9,Jeff Wadlow,"Michael Peña, Maggie Q, Lucy Hale, Austin Stowell"
52,Dunkirk,7.9,Christopher Nolan,"Fionn Whitehead, Barry Keoghan, Mark Rylance, Tom Hardy"
53,Scarface,8.3,Brian De Palma,"Al Pacino, Michelle Pfeiffer, Steven Bauer, Mary Elizabeth Mastrantonio"
54,Baywatch,5.3,,"David Hasselhoff, Pamela Anderson, Yasmine Bleeth, Jeremy Jackson"
55,American Pie,7.0,,"Jason Biggs, Chris Klein, Thomas Ian Nicholas, Jennifer Coolidge"
56,Furaingu Hai,7.7,,"Robert Hays, Julie Hagerty, Leslie Nielsen, Kareem Abdul-Jabbar"
57,Deadpool 2,7.7,David Leitch,"Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison"
58,Sutashippu to~urupazu,7.2,Paul Verhoeven,"Casper Van Dien, Denise Richards, Dina Meyer, Jake Busey"
59,Omerta,7.2,Hansal Mehta,"Rajkummar Rao, Rajesh Tailang, Satwant Kaur, Blake Allan"
60,Arajin,7.0,Guy Ritchie,"Will Smith, Mena Massoud, Naomi Scott, Marwan Kenzari"
61,Monk,8.0,,"Tony Shalhoub, Jason Gray-Stanford, Ted Levine, Traylor Howard"
62,Her,8.0,Spike Jonze,"Joaquin Phoenix, Amy Adams, Scarlett Johansson, Rooney Mara"
63,Baby Driver,7.6,Edgar Wright,"Ansel Elgort, Jon Bernthal, Jon Hamm, Eiza González"
64,Captain Marvel,6.9,,"Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Jude Law"
65,Znaki,6.2,,"Andrzej Konopka, Helena Sujecka, Magdalena Zak, Michal Czernecki"
66,Grease,7.2,Randal Kleiser,"John Travolta, Olivia Newton-John, Stockard Channing, Jeff Conaway"
67,Feel the Beat,6.3,Elissa Down,"Sofia Carson, Pamela MacDonald, Sonia Laplante, Nayo"
68,Taxi Driver,8.3,Martin Scorsese,"Robert De Niro, Jodie Foster, Cybill Shepherd, Albert Brooks"
69,Get Out,7.7,Jordan Peele,"Daniel Kaluuya, Allison Williams, Bradley Whitford, Catherine Keener"
70,Boku no hîrô akademia,8.5,,"Daiki Yamashita, Justin Briner, Nobuhiko Okamoto, Ayane Sakura"
71,30 Rock,8.2,,"Tina Fey, Alec Baldwin, Tracy Morgan, Jack McBrayer"
72,Stand by Me,8.1,Rob Reiner,"Wil Wheaton, River Phoenix, Corey Feldman, Jerry O'Connell"
73,Ghosts of War,5.4,Eric Bress,"Brenton Thwaites, Theo Rossi, Kyle Gallner, Skylar Astin"
74,Room,8.1,Lenny Abrahamson,"Brie Larson, Jacob Tremblay, Sean Bridgers, Wendy Crewson"
75,Devil's Gate,5.1,Clay Staub,"Amanda Schull, Shawn Ashmore, Milo Ventimiglia, Bridget Regan"
76,Luther,8.5,,"Idris Elba, Dermot Crowley, Michael Smiley, Warren Brown"
77,Sonikku za mûbî,6.6,Jeff Fowler,"Ben Schwartz, James Marsden, Jim Carrey, Tika Sumpter"
78,Zoku yuuhi no ganman,8.8,Sergio Leone,"Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè"
79,Élite,7.6,,"Itzan Escamilla, Miguel Bernardeau, Arón Piper, Omar Ayuso"
80,Room 104,6.1,,"Jennifer Lafleur, Jon Bass, Jenny Leonhardt, Michael Chandler"
81,El guardián invisible,6.4,Fernando González Molina,"Marta Etura, Elvira Mínguez, Nene, Francesc Orella"
82,The Land Unknown,5.7,Virgil W. Vogel,"Jock Mahoney, Shirley Patterson, William Reynolds, Henry Brandon"
83,Stargate SG-1,8.4,,"Richard Dean Anderson, Michael Shanks, Amanda Tapping, Christopher Judge"
84,Bloodshot,5.7,Dave Wilson,"Vin Diesel, Eiza González, Sam Heughan, Toby Kebbell"
85,The Usual Suspects,8.5,Bryan Singer,"Kevin Spacey, Gabriel Byrne, Chazz Palminteri, Stephen Baldwin"
86,9-1-1,7.7,,"Angela Bassett, Peter Krause, Oliver Stark, Aisha Hinds"
87,Sutâ wôzu episoddo 1: Fantomu menasu,6.5,George Lucas,"Ewan McGregor, Liam Neeson, Natalie Portman, Jake Lloyd"
88,Star Trek: Picard,7.6,,"Patrick Stewart, Alison Pill, Isa Briones, Michelle Hurd"
89,Top Gun,6.9,Tony Scott,"Tom Cruise, Tim Robbins, Kelly McGillis, Val Kilmer"
90,Poirot,8.6,,"David Suchet, Hugh Fraser, Philip Jackson, Pauline Moran"
91,El hoyo,7.0,Galder Gaztelu-Urrutia,"Ivan Massagué, Zorion Eguileor, Antonia San Juan, Emilio Buale"
92,Married with Children,8.0,,"Ed O'Neill, Christina Applegate, Katey Sagal, Amanda Bearse"
93,White Collar,8.2,,"Matt Bomer, Tim DeKay, Willie Garson, Tiffani Thiessen"
94,Gojira tai Kingu Kongu,,Adam Wingard,"Millie Bobby Brown, Eiza González, Alexander Skarsgård, Rebecca Hall"
95,Sicario,7.6,Denis Villeneuve,"Emily Blunt, Josh Brolin, Benicio Del Toro, Jon Bernthal"
96,The Goldbergs,8.1,,"Wendi McLendon-Covey, Sean Giambrone, Troy Gentile, Hayley Orrantia"
97,Artemis Fowl,4.1,Kenneth Branagh,"Ferdia Shaw, Lara McDonnell, Josh Gad, Tamara Smart"
98,The Lodge,6.0,,"Riley Keough, Jaeden Martell, Lia McHugh, Richard Armitage"
99,Puraibeto Raian,8.6,Steven Spielberg,"Tom Hanks, Matt Damon, Tom Sizemore, Edward Burns"
100,A Simple Favor,6.8,Paul Feig,"Anna Kendrick, Blake Lively, Henry Golding, Andrew Rannells"
101,Murdoch Mysteries,8.1,,"Yannick Bisson, Helene Joy, Thomas Craig, Jonny Harris"
102,Bohemian Rhapsody,8.0,Bryan Singer,"Rami Malek, Lucy Boynton, Gwilym Lee, Ben Hardy"
103,An American Pickle,5.8,Brandon Trost,"Seth Rogen, Sarah Snook, Molly Evensen, Eliot Glazer"
104,Mom,7.2,,"Anna Faris, Allison Janney, Mimi Kennedy, Beth Hall"
105,Vis a vis,8.3,,"Alba Flores, María Isabel Díaz Lago, Marta Aledo, Najwa Nimri"
106,The Vast of Night,6.7,Andrew Patterson,"Sierra McCormick, Jake Horowitz, Gail Cronauer, Bruce Davis"
107,Dirty John,7.2,,"Connie Britton, Christian Slater, Eric Bana, Amanda Peet"
108,Chuck,8.2,,"Zachary Levi, Yvonne Strahovski, Joshua Gomez, Vik Sahay"
109,Venom,6.7,Ruben Fleischer,"Tom Hardy, Michelle Williams, Riz Ahmed, Scott Haze"
110,Last Christmas,6.5,Paul Feig,"Madison Ingoldsby, Emma Thompson, Boris Isakovic, Lucy Miller"
111,Honoo 628,8.3,Elem Klimov,"Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius, Vladas Bagdonas"
112,Teenage Bounty Hunters,,,"Maddie Phillips, Anjelica Bette Fellini, Kadeem Hardison, Virginia Williams"
113,Malcolm in the Middle,8.0,,"Frankie Muniz, Bryan Cranston, Justin Berfield, Erik Per Sullivan"
114,Frasier,8.0,,"Kelsey Grammer, Jane Leeves, David Hyde Pierce, Peri Gilpin"
115,Dark Phoenix,5.8,Simon Kinberg,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult"
116,Virgin River,7.5,,"Colin Lawrence, Benjamin Hollingsworth, Grayson Maxwell Gurnsey, Martin Henderson"
117,The Twilight Zone,5.8,,"Jordan Peele, David Epstein, Kelly Ann Woods, Mark Silverman"
118,Boardwalk Empire,8.5,,"Steve Buscemi, Kelly Macdonald, Michael Shannon, Shea Whigham"
119,Sukinzu,8.2,,"Kaya Scodelario, Nicholas Hoult, Joe Dempsie, Hannah Murray"
120,Dazed and Confused,7.6,Richard Linklater,"Jason London, Wiley Wiggins, Matthew McConaughey, Rory Cochrane"
121,De Twaalf,7.5,,"Luc De Ruelle, Maaike Neuville, Tom Vermeir, Peter Gorissen"
122,Police Academy,6.7,Hugh Wilson,"Steve Guttenberg, G.W. Bailey, Kim Cattrall, Bubba Smith"
123,The Matrix 4,,Lana Wachowski,"Jonathan Groff, Keanu Reeves, Carrie-Anne Moss, Priyanka Chopra"
124,Erumu gai no akumu,7.5,Wes Craven,"Heather Langenkamp, Johnny Depp, Robert Englund, John Saxon"
125,Da 5 Bloods,6.5,Spike Lee,"Delroy Lindo, Jonathan Majors, Clarke Peters, Norm Lewis"
126,Purizunâzu,8.1,Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal, Viola Davis, Melissa Leo"
127,Memento,8.4,Christopher Nolan,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior"
128,Star Wars,8.6,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness"
129,The Golden Girls,7.9,,"Bea Arthur, Betty White, Rue McClanahan, Estelle Getty"
130,Love Life,7.4,,"Anna Kendrick, Zoe Chao, Peter Vack, Sasha Compère"
131,Legacy of Lies,4.9,Adrian Bol,"Scott Adkins, Honor Kneafsey, Andrea Vasiliou, Yuliia Sobol"
132,Rogue One: Star Wars Story,7.8,Gareth Edwards,"Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen"
133,Batman Begins,8.2,Christopher Nolan,"Christian Bale, Michael Caine, Ken Watanabe, Liam Neeson"
134,Kyaputan Amerika: Za fâsuto Abenjâ,6.9,Joe Johnston,"Chris Evans, Hugo Weaving, Samuel L. Jackson, Hayley Atwell"
135,The Devil's Advocate,7.5,Taylor Hackford,"Keanu Reeves, Al Pacino, Charlize Theron, Jeffrey Jones"
136,Green Book,8.2,Peter Farrelly,"Viggo Mortensen, Mahershala Ali, Linda Cardellini, Sebastian Maniscalco"
137,Fast & Furious Presents: Hobbs & Shaw,6.4,David Leitch,"Dwayne Johnson, Jason Statham, Idris Elba, Vanessa Kirby"
138,Sing,7.1,Garth Jennings,"Matthew McConaughey, Reese Witherspoon, Seth MacFarlane, Scarlett Johansson"
139,Constantine,7.0,Francis Lawrence,"Keanu Reeves, Rachel Weisz, Djimon Hounsou, Shia LaBeouf"
140,Grown Ups 2,5.4,Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade"
141,Ray Donovan,8.3,,"Liev Schreiber, Eddie Marsan, Dash Mihok, Pooch Hall"
142,The Breakfast Club,7.9,John Hughes,"Emilio Estevez, Judd Nelson, Molly Ringwald, Ally Sheedy"
143,First Cow,7.1,Kelly Reichardt,"Alia Shawkat, John Magaro, Dylan Smith, Ryan Findley"
144,The Adventures of Sharkboy and Lavagirl 3-D,3.5,Robert Rodriguez,"Cayden Boyd, George Lopez, Kristin Davis, David Arquette"
145,Pose,8.6,,"Mj Rodriguez, Dominique Jackson, Indya Moore, Angel Bismark Curiel"
146,Carnival Row,7.9,,"Orlando Bloom, Cara Delevingne, Simon McBurney, Tamzin Merchant"
147,Rôdo obu za ringu - Ô no kikan,8.9,Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom"
148,Chemical Hearts,,Richard Tanne,"Lili Reinhart, Austin Abrams, Sarah Jones, Kara Young"
149,I See You,6.8,Adam Randall,"Helen Hunt, Jon Tenney, Judah Lewis, Owen Teague"
150,The Tudors,8.1,,"Jonathan Rhys Meyers, Henry Cavill, Anthony Brophy, James Frain"
151,After Life,8.5,,"Ricky Gervais, Tom Basden, Tony Way, Diane Morgan"
152,Deep Blue,5.9,Renny Harlin,"Thomas Jane, Saffron Burrows, Samuel L. Jackson, Jacqueline McKenzie"
153,Letterkenny,8.7,,"Jared Keeso, Michelle Mylett, Nathan Dales, K. Trevor Wilson"
154,Tokei Jikake no Orenji,8.3,Stanley Kubrick,"Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke"
155,7500,6.3,Patrick Vollrath,"Joseph Gordon-Levitt, Omid Memar, Aylin Tezel, Carlo Kitzlinger"
156,Veronica Mars,8.3,,"Kristen Bell, Jason Dohring, Enrico Colantoni, Percy Daggs III"
157,Eyes Wide Shut,7.4,Stanley Kubrick,"Tom Cruise, Nicole Kidman, Todd Field, Sydney Pollack"
158,Boy Meets World,8.1,,"Ben Savage, Rider Strong, William Daniels, Betsy Randle"
159,The Orville,8.0,,"Seth MacFarlane, Adrianne Palicki, Penny Johnson Jerald, Scott Grimes"
160,Za taun,7.5,Ben Affleck,"Ben Affleck, Rebecca Hall, Jon Hamm, Jeremy Renner"
161,Double Jeopardy,6.5,Bruce Beresford,"Ashley Judd, Tommy Lee Jones, Bruce Greenwood, Benjamin Weir"
162,Utopia,,,"Desmin Borges, Dan Byrd, John Cusack, Christopher Denham"
163,Harii Pottâ to Azukaban no shûjin,7.9,Alfonso Cuarón,"Daniel Radcliffe, Emma Watson, Rupert Grint, Richard Griffiths"
164,Ava,5.7,Tate Taylor,"Jessica Chastain, Colin Farrell, Geena Davis, John Malkovich"
165,X-Men: Fyûchâ & pasuto,8.0,Bryan Singer,"Patrick Stewart, Ian McKellen, Hugh Jackman, James McAvoy"
166,Shutter Island,8.2,Martin Scorsese,"Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo, Ben Kingsley"
167,Dune,6.5,David Lynch,"Kyle MacLachlan, Virginia Madsen, Francesca Annis, Leonardo Cimino"
168,Yaara,6.2,Tigmanshu Dhulia,"Vidyut Jammwal, Amit Sadh, Mohommed Ali Shah, Kenny Basumatary"
169,Waterworld,6.2,Kevin Reynolds,"Kevin Costner, Jeanne Tripplehorn, Dennis Hopper, Tina Majorino"
170,Eirian 2,8.3,James Cameron,"Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser"
171,The Very Excellent Mr. Dundee,4.9,Dean Murphy,"Jacob Elordi, Mel Gibson, Chevy Chase, Luke Hemsworth"
172,S.W.A.T.,7.0,,"Shemar Moore, Alex Russell, Lina Esco, Kenny Johnson"
173,White Lines,6.6,,"Laura Haddock, Nuno Lopes, Marta Milans, Daniel Mays"
174,Requiem for a Dream,8.3,Darren Aronofsky,"Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans"
175,Chârî to ChokorêtoKoujou,6.6,Tim Burton,"Johnny Depp, Freddie Highmore, David Kelly, Helena Bonham Carter"
176,Fifty Shades of Grey,4.1,Sam Taylor-Johnson,"Dakota Johnson, Jamie Dornan, Jennifer Ehle, Eloise Mumford"
177,Braveheart,8.3,Mel Gibson,"Mel Gibson, Sophie Marceau, Patrick McGoohan, Angus Macfadyen"
178,The Fresh Prince of Bel-Air,7.9,,"Will Smith, James Avery, Alfonso Ribeiro, Tatyana Ali"
179,Spider-Man: Homecoming,7.4,Jon Watts,"Tom Holland, Michael Keaton, Robert Downey Jr., Marisa Tomei"
180,A Beautiful Day in the Neighborhood,7.3,Marielle Heller,"Tom Hanks, Matthew Rhys, Chris Cooper, Susan Kelechi Watson"
181,The Avengers,8.0,Joss Whedon,"Robert Downey Jr., Chris Evans, Scarlett Johansson, Jeremy Renner"
182,The Mask,6.9,Chuck Russell,"Jim Carrey, Cameron Diaz, Peter Riegert, Peter Greene"
183,F9,,Justin Lin,"Charlize Theron, Helen Mirren, Vin Diesel, Nathalie Emmanuel"
184,Goliath,8.2,,"Billy Bob Thornton, Tania Raymonde, Nina Arianda, Diana Hopper"
185,グッド・ファイト 華麗なる逆転,8.3,,"Christine Baranski, Cush Jumbo, Delroy Lindo, Sarah Steele"
186,The Truman Show,8.1,Peter Weir,"Jim Carrey, Ed Harris, Laura Linney, Noah Emmerich"
187,Medici,7.9,,"Daniel Sharman, Alessandra Mastronardi, Synnove Karlsen, Sebastian De Souza"
188,The Last Full Measure,6.7,Todd Robinson,"Sebastian Stan, Alison Sudol, Asher Miles Fallica, LisaGay Hamilton"
189,Star Trek Beyond,7.1,Justin Lin,"Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana"
190,Pretty Little Liars,7.4,,"Troian Bellisario, Ashley Benson, Lucy Hale, Shay Mitchell"
191,Legacies,7.5,,"Danielle Rose Russell, Aria Shahghasemi, Quincy Fouse, Peyton 'Alex' Smith"
192,Midnight Express,7.6,Alan Parker,"Brad Davis, Irene Miracle, Bo Hopkins, Paolo Bonacelli"
193,Booksmart,7.2,Olivia Wilde,"Kaitlyn Dever, Beanie Feldstein, Jessica Williams, Jason Sudeikis"
194,M*A*S*H,8.4,,"Alan Alda, Wayne Rogers, Loretta Swit, Jamie Farr"
195,Search Party,7.6,,"Alia Shawkat, John Reynolds, John Early, Meredith Hagner"
196,John Wick: Chapter 3 - Parabellum,7.5,Chad Stahelski,"Keanu Reeves, Halle Berry, Ian McShane, Laurence Fishburne"
197,Reidâsu/Ushinawareta âku,8.4,Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davies"
198,MacGyver,5.3,,"Lucas Till, Tristin Mays, Justin Hires, Meredith Eaton"
199,Sen to Chihiro no kamikakushi,8.6,Hayao Miyazaki,"Daveigh Chase, Suzanne Pleshette, Miyu Irino, Rumi Hiiragi"
0,Marriage Story,8.0,Noah Baumbach,"Adam Driver, Scarlett Johansson, Julia Greer, Azhy Robertson"
1,Sense8,8.3,,"Doona Bae, Jamie Clayton, Tina Desai, Tuppence Middleton"
2,Shiryô-kan,7.5,James Wan,"Patrick Wilson, Vera Farmiga, Ron Livingston, Lili Taylor"
